name,category,calories,protein,fat,carbs
"Cress, garden, raw",Snack,32,2.6,0.7,5.5
"Cress, garden, cooked, boiled, drained, without salt",Snack,96,1.9,0.6,3.8
"Cucumber, with peel, raw",Snack,65,0.65,0.11,3.63
"Edamame, frozen, unprepared",Snack,109,11.2,4.73,7.61
"Edamame, frozen, prepared",Snack,507,11.9,5.2,8.91
"Endive, raw",Snack,17,1.25,0.2,3.35
"Escarole, cooked, boiled, drained, no salt added",Snack,64,1.15,0.18,3.07
"Gourd, dishcloth (towelgourd), raw",Snack,84,1.2,0.2,4.35
"Gourd, dishcloth (towelgourd), cooked, boiled, drained, without salt",Snack,56,0.66,0.34,14.3
"Drumstick leaves, raw",Snack,64,9.4,1.4,8.28
"Drumstick leaves, cooked, boiled, drained, without salt",Snack,251,5.27,0.93,11.2
"Pepeao, dried",Snack,298,4.82,0.44,81
"Jute, potherb, raw",Snack,34,4.65,0.25,5.8
"Jute, potherb, cooked, boiled, drained, without salt",Snack,153,3.68,0.2,7.29
"Kale, raw",Snack,35,2.92,1.49,4.42
"Mushrooms, Chanterelle, raw",Snack,32,1.49,0.53,6.86
"Mushrooms, morel, raw",Snack,129,3.12,0.57,5.1
"Kohlrabi, raw",Snack,27,1.7,0.1,6.2
"Kohlrabi, cooked, boiled, drained, without salt",Snack,121,1.8,0.11,6.69
"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without salt",Snack,130,0.81,0.2,7.62
"Lentils, sprouted, raw",Snack,106,8.96,0.55,22.1
"Lentils, sprouted, cooked, stir-fried, without salt",Snack,101,8.8,0.45,21.2
"Lettuce, butterhead (includes boston and bibb types), raw",Snack,55,1.35,0.22,2.23
"Lotus root, cooked, boiled, drained, without salt",Snack,278,1.58,0.07,16
"Lettuce, red leaf, raw",Snack,13,1.33,0.22,2.26
"Mountain yam, hawaii, raw",Snack,67,1.34,0.1,16.3
"Mountain yam, hawaii, cooked, steamed, without salt",Snack,82,1.73,0.08,20
"Mushrooms, brown, italian, or crimini, raw",Snack,22,2.5,0.1,4.3
"Mushrooms, shiitake, stir-fried",Snack,162,3.45,0.35,7.68
"Mushrooms, shiitake, dried",Snack,296,9.58,0.99,75.4
"Mushrooms, shiitake, cooked, without salt",Snack,234,1.56,0.22,14.4
"Mustard spinach, (tendergreen), raw",Snack,22,2.2,0.3,3.9
"Mustard spinach, (tendergreen), cooked, boiled, drained, without salt",Snack,16,1.7,0.2,2.8
"New Zealand spinach, raw",Snack,14,1.5,0.2,2.5
"New Zealand spinach, cooked, boiled, drained, without salt",Snack,51,1.3,0.17,2.13
"Potatoes, french fried, all types, salt added in processing, frozen, unprepared",Snack,613,2.24,4.66,24.8
"Potato wedges, frozen (Includes foods for USDA's Food Distribution Program)",Snack,539,2.7,2.2,25.5
"Potatoes, french fried, steak fries, salt added in processing, frozen, as purchased",Snack,130,2.19,3.39,23.5
"Potatoes, french fried, steak fries, salt added in processing, frozen, oven-heated",Snack,620,2.57,3.76,27
Potato flour,Snack,1490,6.9,0.34,83.1
"Pumpkin leaves, cooked, boiled, drained, without salt",Snack,88,2.72,0.22,3.39
"Pumpkin, raw",Snack,26,1,0.1,6.5
"Pumpkin, cooked, boiled, drained, without salt",Snack,83,0.72,0.07,4.9
"Pumpkin, canned, without salt",Snack,34,1.1,0.28,8.09
"Radishes, oriental, raw",Snack,18,0.6,0.1,4.1
"Radishes, oriental, cooked, boiled, drained, without salt",Snack,71,0.67,0.24,3.43
"Radishes, oriental, dried",Snack,271,7.9,0.72,63.4
"Rutabagas, raw",Snack,37,1.08,0.16,8.62
"Rutabagas, cooked, boiled, drained, without salt",Snack,127,0.93,0.18,6.84
"Seaweed, irishmoss, raw",Snack,205,1.51,0.16,12.3
"Seaweed, kelp, raw",Snack,43,1.68,0.56,9.57
"Seaweed, laver, raw",Snack,146,5.81,0.28,5.11
"Sesbania flower, raw",Snack,27,1.28,0.04,6.73
"Soybeans, mature seeds, sprouted, cooked, steamed",Snack,81,8.47,4.45,6.53
"Soybeans, mature seeds, sprouted, cooked, stir-fried",Snack,125,13.1,7.1,9.4
"Spinach, raw",Snack,97,2.86,0.39,3.63
"Spinach, cooked, boiled, drained, without salt",Snack,23,2.97,0.26,3.75
"Squash, summer, crookneck and straightneck, raw",Snack,78,1.01,0.27,3.88
"Squash, summer, crookneck and straightneck, cooked, boiled, drained, without salt",Snack,19,1.04,0.39,3.79
"Squash, summer, crookneck and straightneck, canned, drained, solid, without salt",Snack,54,0.61,0.07,2.96
"Squash, summer, crookneck and straightneck, frozen, unprepared",Snack,20,0.83,0.14,4.8
"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",Snack,25,1.28,0.2,5.54
"Squash, summer, zucchini, includes skin, frozen, unprepared",Snack,17,1.16,0.13,3.58
"Squash, summer, zucchini, includes skin, frozen, cooked, boiled, drained, without salt",Snack,17,1.15,0.13,3.56
"Squash, summer, zucchini, italian style, canned",Snack,29,1.03,0.11,6.85
"Squash, winter, acorn, raw",Snack,40,0.8,0.1,10.4
"Squash, winter, butternut, frozen, unprepared",Snack,237,1.76,0.1,14.4
"Squash, winter, butternut, frozen, cooked, boiled, without salt",Snack,39,1.23,0.07,10
"Squash, winter, hubbard, raw",Snack,167,2,0.5,8.7
"Squash, winter, hubbard, baked, without salt",Snack,50,2.48,0.62,10.8
"Succotash, (corn and limas), cooked, boiled, drained, without salt",Snack,115,5.07,0.8,24.4
"Succotash, (corn and limas), canned, with cream style corn",Snack,77,2.64,0.54,17.6
"Succotash, (corn and limas), canned, with whole kernel corn, solids and liquids",Snack,63,2.6,0.49,14
"Succotash, (corn and limas), frozen, unprepared",Snack,93,4.31,0.89,19.9
"Succotash, (corn and limas), frozen, cooked, boiled, drained, without salt",Snack,93,4.31,0.89,20
"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)",Snack,86,1.57,0.05,20.1
"Sweet potato, cooked, baked in skin, flesh, without salt",Snack,378,2.01,0.15,20.7
"Sweet potato, cooked, boiled, without skin",Snack,320,1.37,0.14,17.7
"Sweet potato, canned, vacuum pack",Snack,91,1.65,0.2,21.1
"Taro, cooked, without salt",Snack,594,0.52,0.11,34.6
"Taro leaves, raw",Snack,42,4.98,0.74,6.7
"Taro leaves, cooked, steamed, without salt",Snack,24,2.72,0.41,4.02
"Taro shoots, raw",Snack,11,0.92,0.09,2.32
"Arrowroot, raw",Snack,271,4.24,0.2,13.4
"Chrysanthemum leaves, raw",Snack,24,3.36,0.56,3.01
"Amaranth leaves, cooked, boiled, drained, with salt",Snack,21,2.11,0.18,4.11
"Arrowhead, cooked, boiled, drained, with salt",Snack,78,4.49,0.1,16.1
"Asparagus, frozen, cooked, boiled, drained, with salt",Snack,74,2.95,0.42,1.92
"Balsam-pear (bitter gourd), leafy tips, cooked, boiled, drained, with salt",Snack,32,3.6,0.2,6.16
"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, with salt",Snack,79,0.84,0.18,4.32
"Bamboo shoots, cooked, boiled, drained, with salt",Snack,46,1.53,0.22,1.52
"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, with salt",Snack,429,6.07,0.34,19.3
"Mung beans, mature seeds, sprouted, cooked, boiled, drained, with salt",Snack,19,2.03,0.09,3.6
"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, with salt",Snack,325,7.07,0.81,15
"Beans, pinto, immature seeds, frozen, cooked, boiled, drained, with salt",Snack,678,9.31,0.48,30.9
"Beans, snap, green, canned, no salt added, solids and liquids",Snack,64,0.8,0.1,3.5
"Beans, snap, yellow, canned, regular pack, solids and liquids",Snack,15,0.8,0.1,3.5
"Beans, snap, yellow, canned, no salt added, solids and liquids",Snack,63,0.8,0.1,3.5
"Beans, snap, green, canned, no salt added, drained solids",Snack,22,1.12,0.46,4.32
"Beets, cooked, boiled. drained, with salt",Snack,44,1.68,0.18,9.96
"Beets, canned, no salt added, solids and liquids",Snack,28,0.8,0.07,6.57
"Beet greens, cooked, boiled, drained, with salt",Snack,113,2.57,0.2,5.46
"Borage, cooked, boiled, drained, with salt",Snack,25,2.09,0.81,3.55
"Broccoli, cooked, boiled, drained, with salt",Snack,146,2.38,0.41,7.18
"Broccoli, frozen, chopped, cooked, boiled, drained, with salt",Snack,28,3.1,0.12,5.35
"Broccoli, frozen, spears, cooked, boiled, drained, with salt",Snack,28,3.1,0.11,5.35
"Brussels sprouts, cooked, boiled, drained, with salt",Snack,36,2.55,0.5,7.1
"Cabbage, common, cooked, boiled, drained, with salt",Snack,23,1.27,0.06,5.51
"Cabbage, red, cooked, boiled, drained, with salt",Snack,122,1.51,0.09,6.94
"Cabbage, savoy, cooked, boiled, drained, with salt",Snack,24,1.8,0.09,5.41
"Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt",Snack,48,1.56,0.16,1.78
"Carrots, canned, no salt added, drained solids",Snack,25,0.64,0.19,5.54
"Carrots, frozen, cooked, boiled, drained, with salt",Snack,155,0.58,0.68,7.73
"Cauliflower, cooked, boiled, drained, with salt",Snack,96,1.84,0.45,4.11
"Cauliflower, frozen, cooked, boiled, drained, with salt",Snack,71,1.61,0.22,3.16
"Chrysanthemum, garland, cooked, boiled, drained, with salt",Snack,84,1.64,0.09,4.31
"Collards, cooked, boiled, drained, with salt",Snack,33,2.71,0.72,5.65
"Collards, frozen, chopped, cooked, boiled, drained, with salt",Snack,151,2.97,0.41,7.1
"Corn, sweet, yellow, cooked, boiled, drained, with salt",Snack,96,3.41,1.5,21
"Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with salt",Snack,94,3.17,0.38,19.7
"Cowpeas (blackeyes), immature seeds, frozen, cooked, boiled, drained, with salt",Snack,131,8.49,0.66,23.5
"Cowpeas, young pods with seeds, cooked, boiled, drained, with salt",Snack,34,2.6,0.3,7
"Cowpeas, leafy tips, cooked, boiled, drained, with salt",Snack,22,4.67,0.1,2.8
"Gourd, dishcloth (towelgourd), cooked, boiled, drained, with salt",Snack,54,0.66,0.34,13.8
"Drumstick leaves, cooked, boiled, drained, with salt",Snack,60,5.27,0.93,11.2
"Drumstick pods, cooked, boiled, drained, with salt",Snack,36,2.09,0.19,8.18
"Hyacinth-beans, immature seeds, cooked, boiled, drained, with salt",Snack,209,2.95,0.27,9.2
"Lambsquarters, cooked, boiled, drained, with salt",Snack,134,3.2,0.7,5
"Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, with salt",Snack,31,0.81,0.2,7.62
"Lotus root, cooked, boiled, drained, with salt",Snack,278,1.58,0.07,16
"Mushrooms, white, cooked, boiled, drained, with salt",Snack,117,2.17,0.47,5.29
"Corn, sweet, white, raw",Snack,86,3.22,1.18,19
"Corn, sweet, white, cooked, boiled, drained, without salt",Snack,408,3.34,1.41,21.7
"Corn, sweet, white, cooked, boiled, drained, with salt",Snack,97,3.34,1.41,21.7
"Corn, sweet, white, canned, whole kernel, regular pack, solids and liquids",Snack,64,1.95,0.5,15.4
"Corn, sweet, white, canned, vacuum pack, regular pack",Snack,79,2.41,0.5,19.4
"Corn, sweet, white, canned, vacuum pack, no salt added",Snack,332,2.41,0.5,19.4
"Corn, sweet, white, frozen, kernels cut off cob, unprepared",Snack,367,3.02,0.77,20.7
"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, without salt",Snack,335,2.75,0.43,19.6
"Peppers, sweet, red, canned, solids and liquids",Snack,18,0.8,0.3,3.9
"Peppers, sweet, red, frozen, chopped, unprepared",Snack,84,1.08,0.21,4.45
"Peppers, sweet, red, frozen, chopped, boiled, drained, without salt",Snack,65,0.95,0.18,3.31
"Peppers, sweet, red, frozen, chopped, boiled, drained, with salt",Snack,16,0.95,0.18,3.31
"Peppers, sweet, red, sauteed",Snack,555,1.04,12.8,6.57
"Lentils, sprouted, cooked, stir-fried, with salt",Snack,423,8.8,0.45,21.2
"Mountain yam, hawaii, cooked, steamed, with salt",Snack,82,1.73,0.08,20
"Tree fern, cooked, with salt",Snack,166,0.29,0.07,10.8
"Potatoes, mashed, prepared from granules, without milk, whole milk and margarine",Snack,108,2.05,4.93,14.4
"Potatoes, mashed, home-prepared, whole milk and butter added",Snack,471,1.86,4.22,16.8
Catsup,Snack,101,1.04,0.1,27.4
"Mushrooms, brown, italian, or crimini, exposed to ultraviolet light, raw",Snack,22,2.5,0.1,4.3
"Pickles, cucumber, dill or kosher dill",Snack,12,0.5,0.3,2.41
"Pimento, canned",Snack,96,1.1,0.3,5.1
"Pickle relish, hot dog",Snack,91,1.5,0.46,23.4
"Pickle relish, sweet",Snack,130,0.37,0.47,35.1
"Pickles, cucumber, sour, low sodium",Snack,44,0.33,0.2,2.26
"Pickles, cucumber, dill, reduced sodium",Snack,12,0.5,0.3,2.41
"Radicchio, raw",Snack,23,1.43,0.25,4.48
"Squash, zucchini, baby, raw",Snack,21,2.71,0.4,3.11
"Tomatillos, raw",Snack,133,0.96,1.02,5.84
"Tomatoes, sun-dried",Snack,258,14.1,2.97,55.8
"Carrots, baby, raw",Snack,145,0.64,0.13,8.24
"Hearts of palm, canned",Snack,28,2.52,0.62,4.62
"Peppers, hot chile, sun-dried",Snack,1360,10.6,5.81,69.9
"Nopales, raw",Snack,16,1.32,0.09,3.33
"Cabbage, napa, cooked",Snack,50,1.1,0.17,2.23
"Lemon grass (citronella), raw",Snack,99,1.82,0.49,25.3
"Beans, fava, in pod, raw",Snack,368,7.92,0.73,17.6
"Grape leaves, raw",Snack,93,5.6,2.12,17.3
"Peppers, jalapeno, raw",Snack,29,0.91,0.37,6.5
"Peppers, chili, green, canned",Snack,21,0.72,0.27,4.6
"Peppers, hungarian, raw",Snack,29,0.8,0.41,6.7
"Peppers, pasilla, dried",Snack,345,12.4,15.8,51.1
"Mushrooms, oyster, raw",Snack,139,3.31,0.41,6.09
"Fungi, Cloud ears, dried",Snack,284,9.25,0.73,73
"Mushrooms, straw, canned, drained solids",Snack,32,3.83,0.68,4.64
"Wasabi, root, raw",Snack,456,4.8,0.63,23.5
"Fiddlehead ferns, frozen, unprepared",Snack,34,4.31,0.35,5.74
"Nuts, coconut meat, dried (desiccated), creamed",Snack,684,5.3,69.1,21.5
"Nuts, coconut meat, dried (desiccated), sweetened, shredded",Snack,2100,2.88,35.5,47.7
"Seeds, sisymbrium sp. seeds, whole, dried",Snack,318,12.1,4.6,58.3
"Nuts, almond butter, plain, without salt added",Snack,2570,21,55.5,18.8
"Nuts, chestnuts, japanese, boiled and steamed",Snack,56,0.82,0.19,12.6
"Nuts, chestnuts, japanese, roasted",Snack,201,2.97,0.8,45.1
"Seeds, lotus seeds, raw",Snack,89,4.13,0.53,17.3
"Nuts, almonds, honey roasted, unblanched",Snack,594,18.2,49.9,27.9
"Seeds, sunflower seed kernels, oil roasted, with salt added",Snack,592,20.1,51.3,22.9
"Seeds, sunflower seed kernels, toasted, with salt added",Snack,619,17.2,56.8,20.6
"Seeds, sunflower seed butter, with salt added (Includes foods for USDA's Food Distribution Program)",Snack,617,17.3,55.2,23.3
"Nuts, almonds, dry roasted, with salt added",Snack,2500,21,52.5,21
"Nuts, cashew butter, plain, with salt added",Snack,609,12.1,53,30.3
"Nuts, macadamia nuts, dry roasted, with salt added",Snack,716,7.79,76.1,12.8
"Nuts, mixed nuts, dry roasted, with peanuts, with salt added",Snack,594,17.3,51.4,25.4
"Nuts, mixed nuts, oil roasted, with peanuts, with salt added",Snack,607,20,54,21
"Seeds, pumpkin and squash seeds, whole, roasted, with salt added",Snack,446,18.6,19.4,53.8
"Nuts, almonds, oil roasted, lightly salted",Snack,607,21.2,55.2,17.7
"Nuts, almond butter, plain, with salt added",Snack,2570,21,55.5,18.8
"Seeds, sesame butter, tahini, type of kernels unspecified",Snack,592,17.4,53,21.5
"Beef, retail cuts, separable fat, raw",Lunch,674,8.21,70.9,0
"Beef, retail cuts, separable fat, cooked",Lunch,2840,10.6,70.3,0
"Beef, brisket, whole, separable lean only, all grades, raw",Lunch,658,20.7,7.37,0.6
"Beef, grass-fed, ground, raw",Lunch,828,19.4,12.7,0
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, raw",Lunch,149,21.7,6.29,0
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, braised",Lunch,237,28,13,0
"Beef, flank, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",Lunch,811,27.8,8.32,0
"Beef, rib, eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, raw",Lunch,274,17.5,22.1,0
"Beef, rib, shortribs, separable lean and fat, choice, cooked, braised",Lunch,471,21.6,42,0
"Beef, rib, shortribs, separable lean only, choice, raw",Lunch,731,19,10.2,0.4
"Beef, rib, shortribs, separable lean only, choice, cooked, braised",Lunch,295,30.8,18.1,0
"Beef, round, full cut, separable lean only, trimmed to 1/4"" fat, choice, cooked, broiled",Lunch,191,29.2,7.31,0
"Beef, round, full cut, separable lean only, trimmed to 1/4"" fat, select, cooked, broiled",Lunch,172,29.2,5.22,0
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",Lunch,221,27.6,11.4,0
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, raw",Lunch,669,22.1,7.27,0
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",Lunch,217,27.5,11,0
"Beef, rib eye, small end (ribs 10-12), separable lean only, trimmed to 0"" fat, select, raw",Lunch,625,21.2,6.57,0
"Beef, variety meats and by-products, brain, raw",Lunch,143,10.9,10.3,1.05
"Beef, variety meats and by-products, brain, cooked, pan-fried",Lunch,196,12.6,15.8,0
"Beef, variety meats and by-products, brain, cooked, simmered",Lunch,151,11.7,10.5,1.48
"Beef, variety meats and by-products, heart, raw",Lunch,467,17.7,3.94,0.14
"Beef, variety meats and by-products, liver, cooked, braised",Lunch,801,29.1,5.26,5.13
"Beef, variety meats and by-products, liver, cooked, pan-fried",Lunch,175,26.5,4.68,5.16
"Beef, variety meats and by-products, lungs, raw",Lunch,92,16.2,2.5,0
"Beef, variety meats and by-products, lungs, cooked, braised",Lunch,120,20.4,3.7,0
"Beef, variety meats and by-products, mechanically separated beef, raw",Lunch,276,15,23.5,0
"Beef, loin, top loin steak, boneless, lip off, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",Lunch,207,29.2,9.12,0
"Beef, loin, top loin steak, boneless, lip off, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",Lunch,202,29.5,8.41,0
"Beef, top sirloin, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, broiled",Lunch,206,29.6,8.8,0
"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",Lunch,764,30.6,5.79,0
"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",Lunch,188,30.3,6.55,0
"Beef, top sirloin, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled",Lunch,740,30.8,5.03,0
"Beef, short loin, porterhouse steak, separable lean only,  trimmed to 1/8"" fat, all grades, cooked, grilled",Lunch,213,28.2,10.3,0
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",Lunch,212,26.1,11.2,0
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",Lunch,224,25.5,12.8,0
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",Lunch,608,22.6,5.41,0
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, cooked, grilled",Lunch,203,28.9,8.76,0
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, all grades, raw",Lunch,642,22.2,6.5,0
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, all grades, cooked, grilled",Lunch,212,27.9,10.4,0
"Beef, short loin, t-bone steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled",Lunch,198,26,9.61,0
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, select, raw",Lunch,602,22.4,5.34,0
"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, choice, raw",Lunch,156,20.2,7.73,0
"Beef, round, tip round, roast, separable lean and fat, trimmed to 0"" fat, select, raw",Lunch,609,20.8,6.28,0
"Beef, rib, eye, small end (ribs 10- 12) separable lean only, trimmed to 0"" fat, select, cooked, broiled",Lunch,182,29.9,6.05,0
"Beef, round, top round steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",Lunch,162,30.1,3.77,0
"Beef, ground, 70% lean meat / 30% fat, patty cooked, pan-broiled",Lunch,995,22.9,15.5,0
"Beef, ground, 70% lean meat / 30% fat, patty, cooked, broiled",Lunch,277,25.4,18.7,0
"Beef, ground, 70% lean meat / 30% fat, raw",Lunch,1390,14.4,30,0
"Beef, chuck, under blade center steak, boneless, Denver Cut, separable lean only, trimmed to 0"" fat, select, raw",Lunch,157,19.7,8.54,0.21
"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",Lunch,819,28.2,9.23,0
"Beef, shoulder top blade steak, boneless, separable lean only, trimmed to 0"" fat, select, raw",Lunch,133,20.4,5.73,0
"Beef, brisket, flat half, boneless separable lean only, trimmed to 0"" fat, all grades, raw",Lunch,552,21.5,5.11,0
"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, choice, raw",Lunch,137,21.3,5.75,0
"Beef, brisket, flat half, boneless, separable lean only, trimmed to 0"" fat, select, raw",Lunch,520,21.7,4.14,0
"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",Lunch,220,27.5,12.3,0
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, all grades, raw",Lunch,753,19.2,11.5,0
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, choice, raw",Lunch,185,19.1,12,0
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean and fat, trimmed to 0"" fat, select, raw",Lunch,724,19.2,10.7,0
"Beef, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/8"" fat, select, cooked",Lunch,245,26.1,15.1,0
"Beef, brisket, whole, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",Lunch,1060,18.4,19.1,0.56
"Beef, brisket, whole, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",Lunch,331,25.8,24.5,0
"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, all grades, raw",Lunch,277,17.9,22.2,0
"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised",Lunch,1260,30.1,19.2,0
"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw",Lunch,249,19.1,18.6,0
"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",Lunch,1290,30.2,19.9,0
"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",Lunch,239,19.3,17.4,0
"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",Lunch,359,26.4,27.3,0
"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",Lunch,230,17.4,17.3,0
"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised",Lunch,318,27.3,22.4,0
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted",Lunch,765,26.6,8.46,0
"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, raw",Lunch,322,16.3,27.9,0
"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",Lunch,352,22.3,28.5,0
"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",Lunch,1530,22.6,29.8,0
"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, select, raw",Lunch,288,16.8,24,0
"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted",Lunch,400,22.6,33.7,0
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, raw",Lunch,316,16.3,27.3,0
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled",Lunch,338,21.6,27.2,0
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",Lunch,355,23,28.5,0
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",Lunch,324,21.6,25.7,0
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",Lunch,333,23.4,25.8,0
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, raw",Lunch,367,15.8,33.3,0
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, broiled",Lunch,404,20.6,35,0
"Beef, rib, large end (ribs 6-9), separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted",Lunch,393,22.9,32.7,0
"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",Lunch,1270,24.5,22.1,0
"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",Lunch,359,22.3,29.2,0
"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, raw",Lunch,246,19.6,18,0
"Beef, rib, small end (ribs 10-12), separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",Lunch,1160,27.2,18,0
"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",Lunch,194,27.7,9.29,0
"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, raw",Lunch,610,20.2,7.25,0
"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, raw",Lunch,816,20.6,11.9,0
"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",Lunch,235,27.5,13,0
"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted",Lunch,218,26.4,11.6,0
"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, raw",Lunch,829,20.7,12.2,0
"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised",Lunch,254,32.8,12.6,0
"Beef, round, bottom round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",Lunch,935,26,12.4,0
"Beef, round, bottom round, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw",Lunch,187,20.7,10.9,0
"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw",Lunch,724,21.7,8.91,0
"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, roasted",Lunch,212,28.5,10,0
"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, select, raw",Lunch,668,21.3,7.57,0.08
"Beef, round, eye of round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",Lunch,204,28.1,9.26,0
"Beef, round, tip round, separable lean and fat, trimmed to 1/8"" fat, select, raw",Lunch,178,19.7,10.4,0
"Beef, round, tip round, roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, roasted",Lunch,210,27.6,10.2,0
